id,Term,PosScore,NegScore
840,ngẫu nhiên,0.5,0.0
841,định mệnh,0.0,0.75
842,thơm,0.5,0.0
843,mùi hôi thối,0.0,0.75
844,mốc,0.0,0.875
845,hôi,0.0,0.75
846,mùi thối,0.0,0.7
847,thối,0.0,0.7
848,mùi dễ chịu,0.75,0.0
849,ràng buộc,0.0,0.625
850,không cố định,0.125,0.625
851,không bị cản trở,0.0,0.625
852,không hạn chế,0.5,0.0
853,không tự do,0.0,0.75
854,không thường xuyên,0.0,0.625
855,hư hỏng,0.0,0.75
856,tươi,0.625,0.0
857,vui tính,0.625,0.0
858,láng giềng,0.625,0.0
859,không thân thiện,0.0,0.75
860,lạnh,0.125,0.625
861,tê buốt,0.0,0.5
862,tan,0.0,0.5
863,hiệu quả,0.5,0.0
864,trắng,0.0,0.5
865,trống,0.0,0.5
866,hào hùng,0.5,0.0
867,chính hãng,0.636,0.0
868,thực sự,0.6,0.4
869,xác thực,0.6,0.4
870,giả,0.0,0.556
871,giả mạo,0.0,0.75
872,vinh quang,0.625,0.25
873,sáng,0.625,0.125
874,siêu,0.625,0.0
875,không kể xiết,0.0,0.875
876,sợ hãi,0.0,0.875
877,khó khăn,0.0,0.625
878,cực xấu,0.0,0.875
879,bốc mùi hôi thối,0.0,0.75
880,không biết xấu hổ,0.0,0.875
881,thánh thiện,0.625,0.0
882,tiết kiệm,0.625,0.0
883,trong trắng,0.75,0.0
884,dã man,0.0,0.875
885,nham hiểm,0.0,0.75
886,tham nhũng,0.333,0.667
887,xấu xa,0.125,0.875
888,ủ rũ,0.25,0.625
889,hờn dỗi,0.0,0.625
890,yểu điệu,0.125,0.5
891,vu khống bôi nhọ,0.0,0.875
892,gây tác hại,0.0,0.75
893,thảm họa,0.0,0.75
894,tinh nghịch,0.0,0.625
895,phục hồi,0.625,0.125
896,hạ sốt,0.5,0.0
897,khó tiêu,0.0,0.625
898,kiêu căng,0.0,0.5
899,sốt sắng,0.625,0.25
900,vô nhân đạo,0.0,0.75
901,thong thả,0.0,0.75
902,nhàn nhã,0.0,0.625
903,khôi hài,0.625,0.0
904,dí dỏm,0.5,0.0
905,khó nắm bắt,0.0,0.625
906,trơ,0.0,0.625
907,đần độn,0.0,0.5
908,nhạy,0.0,0.5
909,tê tái,0.0,0.5
910,bị áp xe,0.0,0.5
911,làm nhiễm,0.25,0.5
912,thối rữa,0.0,0.625
913,thối nát,0.0,0.625
914,khử trùng,0.75,0.0
915,không bị nhiễm bệnh,0.625,0.0
916,vô trùng,0.625,0.0
917,phù phiếm,0.0,0.75
918,vui tươi,0.625,0.0
919,nhõng nhẽo,0.125,0.5
920,gợi cảm,0.625,0.0
921,lãnh cảm,0.5,0.125
922,cân đối,0.75,0.0
923,độc quyền,0.0,0.75
924,duy nhất,0.0,0.75
925,tác dụng,0.5,0.0
926,không phức tạp,0.5,0.375
927,không biến chứng,0.5,0.375
928,chân thành,0.625,0.0
929,thành thạo,0.625,0.0
930,tập,0.625,0.0
931,chuyên gia,0.625,0.0
932,chuyên nghiệp,0.625,0.0
933,tinh tế,0.75,0.0
934,siêu mịn,0.5,0.0
935,khói,0.0,0.5
936,khói thuốc,0.5,0.0
937,cả tin,0.5,0.0
938,kiên cố,0.75,0.0
939,không bão hòa,0.0,0.5
940,tinh thần,0.5,0.0
941,lanh lợi,0.5,0.125
942,nhẫn tâm,0.5,0.125
943,rung rinh,0.5,0.0
944,loạng choạng,0.5,0.0
945,run rẩy,0.5,0.0
946,ọp ẹp,0.5,0.0
947,đối đầu,0.125,0.5
948,thân thiện,0.875,0.0
949,dại,0.0,0.5
950,sự chống đối Do Thái,0.0,0.75
951,chống Do Thái,0.0,0.75
952,suy nhược thần kinh,0.0,0.5
953,sốt,0.0,0.5
954,công tước,0.75,0.0
955,thần kinh,0.0,0.5
956,gây đột biến,0.5,0.0
957,lác mắt,0.0,0.5
958,tiền ung thư,0.0,0.5
959,thực  bào,0.625,0.0
960,thích,0.875,0.0
961,ước,0.125,0.0
962,quan tâm,0.125,0.0
963,giao điểm,0.0,0.625
964,tốt,0.875,0.0
965,do dự,0.125,0.625
966,ngập ngừng,0.125,0.625
967,nạn nhân,0.125,0.625
968,nạn nhân,0.125,0.625
969,tai họa,0.0,0.5
970,rắc rối,0.0,0.875
971,sự bất tiện,0.0,0.875
972,bất tiện,0.0,0.875
973,xúc phạm,0.0,0.875
974,phiền,0.0,0.875
975,xấu hổ,0.0,0.5
976,không ưa,0.0,0.5
977,sai,0.0,0.75
978,định kiến,0.0,0.625
979,buồn bã,0.0,0.625
980,không may mắn,0.0,0.875
981,đáng tiếc,0.0,0.875
982,than ôi,0.0,0.875
983,ám sát,0.5,0.0
984,thoát,0.5,0.0
985,cướp,0.0,0.5
986,ăn cắp,0.0,0.5
987,tặng,0.625,0.0
988,hiến,0.625,0.0
989,xem,0.75,0.0
990,bứt rứt,0.0,0.875
991,châm chích,0.0,0.875
992,gai,0.0,0.75
993,chịu đựng,0.5,0.0
994,tỏa sáng,0.75,0.125
995,bừng sáng,0.75,0.125
996,rạng rỡ,0.75,0.125
997,mùi,0.0,0.875
998,ngưỡng mộ,0.625,0.0
999,dường như,0.5,0.125
1000,phù hợp,0.875,0.0
1001,giá quá thấp,0.0,0.5
1002,đổ,0.0,0.5
1003,tự do,0.5,0.0
1004,bán,0.0,0.5
1005,phản bội,0.0,0.5
1006,hội đủ điều kiện,0.625,0.0
1007,hóa lẫn,0.5,0.25
1008,đứng yên,0.0,0.5
1009,thủ đoạn,0.0,0.875
1010,độc,0.0,0.5
1011,bại hoại,0.0,0.625
1012,lật đổ thô tục,0.0,0.625
1013,gởi lộn,0.0,0.625
1014,suy đồi,0.0,0.625
1015,hư,0.0,0.625
1016,nhục,0.0,0.625
1017,chống đỡ,0.0,0.5
1018,phục hồi chức năng,0.625,0.0
1019,giải phóng,0.5,0.0
1020,giải trừ,0.5,0.0
1021,hy sinh,0.0,0.5
1022,cho,0.0,0.5
1023,trả giá cao hơn,0.0,0.5
1024,bụi,0.0,0.5
1025,đẩy lùi,0.25,0.125
1026,hy vọng,0.625,0.25
1027,nỗi thống khổ,0.0,0.5
1028,giận dữ,0.0,0.75
1029,do đó,0.625,0.0
1030,không chỉ có lỗi,0.0,0.6
1031,còn nhỏ,0.125,0.5
1032,mơ mộng,0.5,0.125
1033,không phải chỉ có lỗi,0.0,0.6
1034,không tập trung,0.0,0.5
1035,sáo rỗng,0.0,0.625
1036,chỉ quan tâm,0.125,0.0
1037,kém đến đâu,0.125,0.5
1038,không được hay,0.0,0.6
1039,không được bóng bẩy,0.0,0.5
1040,không có kiểu nhận thức sáo rỗng,0.5,0.0
1041,không tạo được cảm hứng,0.0,0.5
1042,không một chút sáng tạo,0.0,0.5
1043,đáng báo động,0.0,0.625
1044,không tệ,0.5,0.0
1045,hơi xưa cũ,0.125,0.5
1046,không được như vậy,0.125,0.6
1047,chỉ trích,0.125,0.5
1048,nhiều điều tốt đẹp,0.6,0.0
1049,cũng không thể cải thiện được,0.0,0.6
1050,chưa chắc khả năng,0.5,0.125
1051,không mang lại cảm hứng,0.0,0.5
1052,chân thực hơn,0.5,0.0
1053,rùng mình,0.125,0.5
1054,không dày cộp,0.5,0.125
1055,thật khó lắm thay,0.0,0.5
1056,xì xào,0.125,0.5
1057,soi mói,0.0,0.5
1058,không khơi dậy,0.125,0.5
1059,không hào hứng lắm,0.0,0.5
1060,không thể làm gì hơn được,0.0,0.5
1061,rất khó chấp nhận,0.125,0.6
1062,kém hấp dẫn,0.125,0.5
1063,khô khan,0.0,0.5
1064,ngây ngô đến vậy,0.125,0.5
1065,hành hạ,0.0,0.6
1066,thấy sợ,0.125,0.5
1067,vã mồ hôi,0.125,0.5
1068,bạo hành,0.0,0.75
1069,tổn thương,0.0,0.6
1070,canh cánh,0.125,0.5
1071,cực kỳ phẫn nộ,0.0,0.875
1072,chia buồn,0.125,0.5
1073,coi thường,0.5,0.125
1074,vượt qua mọi thử thách,0.5,0.0
1075,hoàn thành,0.5,0.0
1076,ủng hộ,0.5,0.0
1077,hết sức mình,0.875,0.5
1078,giữ sức khoẻ,0.5,0.0
1079,như mong muốn,0.625,0.0
1080,tạo cơ hội,0.5,0.0
1081,không bao giờ,0.125,0.5
1082,khó khăn đến thế,0.0,0.6
1083,từ thiện,0.5,0.0
1084,ghê nhỉ,0.125,0.5
1085,bình thường mà,0.125,0.0
1086,tạo cơn sốt,0.5,0.125
1087,không phải dễ,0.125,0.5
1088,tăng lên,0.5,0.0
1089,hàng hiệu,0.5,0.0
1090,chuyện nhỏ,0.5,0.125
1091,giá quá cao,0.125,0.5
1092,hiệu năng,0.5,0.0
1093,mới gì đâu,0.125,0.5
1094,giá đắt lắm,0.0,0.5
1095,không thèm,0.5,0.0
1096,chấn chỉnh và chấm dứt,0.5,0.0
1097,choai choai,0.125,0.5
1098,đừng buồn,0.5,0.0
1099,thấu hiểu,0.6,0.0
1100,phấn đấu,0.875,0.0
1101,đục khoét của công,0.0,0.5
1102,giàu lên vì tham nhũng,0.0,0.675
1103,đừng quá quan tâm,0.5,0.125
1104,ghét cay ghét đắng,0.0,0.675
1105,chẳng việc gì phải buồn,0.0,0.5
1106,tính toán,0.0,0.5
1107,trọc phú,0.5,0.125
1108,thượng lưu,0.5,0.125
1109,nhà giàu,0.675,0.0
1110,thiển cận,0.0,0.5
1111,cổ hủ,0.125,0.5
1112,khinh người,0.0,0.5
1113,kênh kiệu,0.0,0.675
1114,ủy mị,0.125,0.5
1115,nhàm chán,0.0,0.625
1116,giỏi giang,0.625,0.0
1117,quá thất vọng,0.0,0.75
1118,không thể nào chấp nhận được,0.0,0.875
1119,chân,0.625,0.0
1120,thiện,0.625,0.0
1121,mỹ,0.625,0.0
1122,lệch lạc,0.0,0.5
1123,bàng hoàng,0.0,0.5
1124,đáng buồn,0.0,0.875
1125,lôi cuốn hơn,0.625,0.0
1126,uyên bác,0.875,0.0
1127,hùng biện,0.5,0.0
1128,thấy xót xa,0.0,0.625
1129,đau lòng đến thế nào,0.0,0.875
1130,thật khủng khiếp,0.0,0.625
1131,choáng váng,0.0,0.5
1132,mỏng manh,0.125,0.5
1133,đích đáng,0.0,0.625
1134,ác hơn cả thú,0.0,0.875
1135,tổn thất nặng nề,0.0,0.625
1136,xót xa đau lòng,0.0,0.625
1137,không còn nhân tính,0.0,0.875
1138,thật tức chết đi đuợc,0.0,0.625
1139,bức xúc,0.0,0.625
1140,vô nhân tính,0.0,0.875
1141,vô cùng tàn ác,0.0,0.875
1142,không có tình thương,0.0,0.625
1143,ghét,0.0,0.75
1144,yêu,0.875,0.0
1145,thích thú,0.875,0.0
1146,a dua,0.0,0.5
1147,ác hiểm,0.0,0.75
1148,ác khẩu,0.0,0.5
1149,ác liệt,0.0,0.5
1150,ái mộ,0.5,0.0
1151,ám sát,0.0,0.6
1152,an phận,0.125,0.5
1153,ám muội,0.0,0.5
1154,ái ân,0.75,0.0
1155,ảo tưởng,0.25,0.5
1156,ăn đủ,0.0,0.5
1157,ăn hiếp,0.0,0.5
1158,ăn khách,0.5,0.0
1159,ăn thua,0.125,0.5
1160,âm thầm,0.0,0.5
1161,ấm êm,0.5,0.0
1162,ẩm ướt,0.125,0.5
1163,ân hận,0.25,0.5
1164,ân nghĩa,0.5,0.0
1165,ẩn nấp,0.5,0.25
1166,ẩn ý,0.5,0.25
1167,ấp úng,0.25,0.5
1168,bạc đãi,0.0,0.5
1169,bãi nhiệm,0.25,0.5
1170,bãi bỏ,0.25,0.25
1171,bán tháo,0.125,0.5
1172,bàng quan,0.25,0.5
1173,bảo lãnh,0.5,0.25
1174,bần bật,0.0,0.25
1175,báo oán,0.125,0.5
1176,chần chừ,0.125,0.5
1177,chân tình,0.75,0.0
1178,chằng chịt,0.0,0.25
1179,bày vẽ,0.25,0.5
1180,châm chọc,0.0,0.5
1181,bập bõm,0.125,0.5
1182,chằm chằm,0.25,0.5
1183,be bét,0.0,0.5
1184,cấp bách,0.25,0.5
1185,cất nhắc,0.5,0.0
1186,chăm chút,0.675,0.0
1187,chập chờn,0.0,0.5
1188,hay,0.5,0.0
1189,tuyệt,0.6,0.0
1190,lười,0.0,0.6
1191,chăm,0.75,0.0
1192,nghiêm túc,0.5,0.0
1193,thở phào,0.5,0.0
1194,nhẹ nhõm,0.6,0.0
1195,tối ưu,0.5,0.0
1196,tiêu cực,0.0,0.6
1197,cải tiến,0.5,0.0
1198,xinh,0.5,0.0
1199,xinh xắn,0.6,0.0
1200,khờ,0.125,0.5
1201,ngu,0.0,0.75
1202,giỏi,0.75,0.0
1203,xấu,0.0,0.5
1204,xấu xí,0.0,0.5
1205,vung tay quá trán,0.0,0.3
